Title,Links,Distributor,Opening,Budget,Release Date,MPAA,Running Time,Genres,In Release,Widest Release,Director,Domestic,International,Worldwide
Top Gun: Maverick,/release/rl2500036097/?ref_=bo_yld_table_1,Paramount Pictures,126.0,,2022,PG-13,130.0,"['Action', 'Drama']",224.0,4751.0,Joseph Kosinski,718.732,776.963,1495.0
Black Panther: Wakanda Forever,/release/rl3573908993/?ref_=bo_yld_table_2,Walt Disney Studios Motion Pictures,181.0,,2023,PG-13,161.0,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",416.0,4396.0,Ryan Coogler,453.829,405.379,859.208
Doctor Strange in the Multiverse of Madness,/release/rl3724903937/?ref_=bo_yld_table_3,Walt Disney Studios Motion Pictures,187.0,,2022,PG-13,126.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",240.0,4534.0,Sam Raimi,411.331,544.444,955.775
Avatar: The Way of Water,/release/rl3372254721/?ref_=bo_yld_table_4,20th Century Studios,134.0,,2023,PG-13,192.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",381.0,4340.0,James Cameron,684.075,1636.0,2320.0
Jurassic World Dominion,/release/rl4043671041/?ref_=bo_yld_table_5,Universal Pictures,145.0,,2022,PG-13,147.0,"['Action', 'Adventure', 'Sci-Fi', 'Thriller']",210.0,4697.0,Colin Trevorrow,376.851,625.127,1001.0
Minions: The Rise of Gru,/release/rl1736214017/?ref_=bo_yld_table_6,Universal Pictures,107.0,,2022,PG,87.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Sci-Fi']",876.0,4427.0,Kyle Balda,370.27,569.933,940.203
The Batman,/release/rl67732993/?ref_=bo_yld_table_7,Warner Bros.,134.0,,2022,PG-13,176.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",303.0,4417.0,Matt Reeves,369.345,402.9,772.245
Thor: Love and Thunder,/release/rl3523577345/?ref_=bo_yld_table_8,Walt Disney Studios Motion Pictures,144.0,,2022,PG-13,118.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']",177.0,4375.0,Taika Waititi,343.256,417.671,760.928
Spider-Man: No Way Home,/release/rl2869659137/?ref_=bo_yld_table_9,Sony Pictures Releasing,260.0,,2022,PG-13,148.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",380.0,4336.0,Jon Watts,804.793,1106.0,1910.0
Sonic the Hedgehog 2,/release/rl1363641089/?ref_=bo_yld_table_10,Paramount Pictures,72.0,,2022,PG,122.0,"['Action', 'Adventure', 'Comedy', 'Family', 'Fantasy', 'Sci-Fi']",268.0,4258.0,Jeff Fowler,190.872,214.548,405.421
Black Adam,/release/rl2728624641/?ref_=bo_yld_table_11,Warner Bros.,67.0,,2023,PG-13,125.0,"['Action', 'Adventure', 'Fantasy', 'Sci-Fi']",437.0,4402.0,Jaume Collet-Serra,168.152,225.3,393.452
Elvis,/release/rl2869528065/?ref_=bo_yld_table_12,Warner Bros.,31.0,,2022,PG-13,159.0,"['Biography', 'Drama', 'Music']",191.0,3932.0,Baz Luhrmann,151.04,136.7,287.74
Uncharted,/release/rl2977334785/?ref_=bo_yld_table_13,Sony Pictures Releasing,44.0,,2022,PG-13,116.0,"['Action', 'Adventure']",317.0,4275.0,Ruben Fleischer,148.648,258.492,407.141
Nope,/release/rl3562898177/?ref_=bo_yld_table_14,Universal Pictures,44.0,,2022,R,130.0,"['Horror', 'Mystery', 'Sci-Fi', 'Thriller']",163.0,3807.0,Jordan Peele,123.277,47.958,171.235
Lightyear,/release/rl6456065/?ref_=bo_yld_table_15,Walt Disney Studios Motion Pictures,50.0,,2022,PG,105.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Sci-Fi']",198.0,4255.0,Angus MacLane,118.307,108.118,226.425
Smile,/release/rl2982445825/?ref_=bo_yld_table_16,Paramount Pictures,22.0,,2022,R,115.0,"['Horror', 'Mystery', 'Thriller']",98.0,3659.0,Parker Finn,105.935,111.473,217.408
The Lost City,/release/rl795706113/?ref_=bo_yld_table_17,Paramount Pictures,30.0,,2022,PG-13,112.0,"['Action', 'Adventure', 'Comedy', 'Romance']",282.0,4283.0,Aaron Nee,105.344,87.563,192.907
Bullet Train,/release/rl192905985/?ref_=bo_yld_table_18,Sony Pictures Releasing,30.0,,2022,R,127.0,"['Action', 'Comedy', 'Thriller']",149.0,4357.0,David Leitch,103.368,135.9,239.268
The Bad Guys,/release/rl2467005953/?ref_=bo_yld_table_19,Universal Pictures,23.0,,2022,PG,100.0,"['Adventure', 'Animation', 'Comedy', 'Crime', 'Family']",946.0,4042.0,Pierre Perifel,97.459,152.928,250.387
Fantastic Beasts: The Secrets of Dumbledore,/release/rl2886305281/?ref_=bo_yld_table_20,Warner Bros.,42.0,,2022,PG-13,142.0,"['Adventure', 'Family', 'Fantasy']",261.0,4245.0,David Yates,95.85,311.3,407.15
DC League of Super-Pets,/release/rl470124033/?ref_=bo_yld_table_21,Warner Bros.,23.0,,2022,PG,105.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Crime', 'Family', 'Fantasy', 'Sci-Fi']",161.0,4332.0,Jared Stern,93.657,113.9,207.557
Where the Crawdads Sing,/release/rl2457109249/?ref_=bo_yld_table_22,Sony Pictures Releasing,17.0,,2022,PG-13,125.0,"['Drama', 'Mystery', 'Romance', 'Thriller']",170.0,3650.0,Olivia Newman,90.23,54.123,144.353
The Black Phone,/release/rl3849487105/?ref_=bo_yld_table_23,Universal Pictures,23.0,,2022,R,103.0,"['Horror', 'Mystery', 'Thriller']",196.0,3156.0,Scott Derrickson,90.123,71.317,161.44
Sing 2,/release/rl302024193/?ref_=bo_yld_table_24,Universal Pictures,22.0,,2021,PG,110.0,"['Adventure', 'Animation', 'Comedy', 'Family', 'Musical']",375.0,3892.0,Garth Jennings,162.79,245.611,408.402
Scream,/release/rl307200769/?ref_=bo_yld_table_25,Paramount Pictures,30.0,,2022,R,114.0,"['Horror', 'Mystery', 'Thriller']",352.0,3666.0,Matt Bettinelli-Olpin,81.641,56.102,137.743
Morbius,/release/rl2064025089/?ref_=bo_yld_table_26,Columbia Pictures,39.0,,2022,PG-13,104.0,"['Action', 'Adventure', 'Horror', 'Sci-Fi', 'Thriller']",275.0,4268.0,Daniel Espinosa,73.865,93.595,167.46
Everything Everywhere All at Once,/release/rl3861218049/?ref_=bo_yld_table_27,A24,0.501,,,R,139.0,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",647.0,2220.0,Daniel Kwan,77.191,62.215,139.407
Ticket to Paradise,/release/rl3949822721/?ref_=bo_yld_table_28,Universal Pictures,16.0,,2022,PG-13,104.0,"['Comedy', 'Romance']",437.0,4066.0,Ol Parker,68.275,100.495,168.77
The Woman King,/release/rl2551874305/?ref_=bo_yld_table_29,TriStar Pictures,19.0,,2022,PG-13,135.0,"['Action', 'Drama', 'History']",472.0,3765.0,Gina Prince-Bythewood,67.328,30.234,97.562
Halloween Ends,/release/rl2047247873/?ref_=bo_yld_table_30,Universal Pictures,40.0,,2022,R,111.0,"['Drama', 'Horror', 'Mystery', 'Romance', 'Thriller']",84.0,3901.0,David Gordon Green,64.079,40.294,104.374
Dog,/release/rl1831174913/?ref_=bo_yld_table_31,United Artists Releasing,14.0,,2022,PG-13,101.0,"['Comedy', 'Drama']",317.0,3827.0,Reid Carolin,61.778,22.772,84.55
Jackass Forever,/release/rl1688896001/?ref_=bo_yld_table_32,Paramount Pictures,23.0,,2022,R,96.0,"['Action', 'Comedy', 'Documentary']",331.0,3653.0,Jeff Tremaine,57.743,22.82,80.563
Puss in Boots: The Last Wish,/release/rl3899622145/?ref_=bo_yld_table_33,Universal Pictures,12.0,,2022,PG,102.0,"['Action', 'Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']",703.0,4121.0,Joel Crawford,186.09,295.667,481.757
Violent Night,/release/rl4179395329/?ref_=bo_yld_table_34,Universal Pictures,13.0,,2022,R,112.0,"['Action', 'Comedy', 'Thriller']",395.0,3723.0,Tommy Wirkola,50.057,25.947,76.004
"Lyle, Lyle, Crocodile",/release/rl2323088129/?ref_=bo_yld_table_35,Sony Pictures Releasing,11.0,,2022,PG,106.0,"['Adventure', 'Comedy', 'Family', 'Fantasy', 'Musical']",451.0,4350.0,Josh Gordon,46.888,64.191,111.08
Death on the Nile,/release/rl2416281089/?ref_=bo_yld_table_36,20th Century Studios,12.0,,2022,PG-13,127.0,"['Crime', 'Drama', 'Mystery']",324.0,3420.0,Kenneth Branagh,45.63,91.677,137.307
Don't Worry Darling,/release/rl3021046529/?ref_=bo_yld_table_37,Warner Bros.,19.0,,2022,R,123.0,"['Drama', 'Mystery', 'Thriller']",105.0,4121.0,Olivia Wilde,45.309,42.3,87.609
